Time(Fw)[msec],Interval(Fw)[msec],Sampling(App)[msec],0xDF0,0xDF1,0xDF2,0xDF3,0xDF4,0xDF5,0xDF6,0xDF7,
320997,30,29,0,-0.40283203125,-0.033447265625,0,102.5625,1,6,0,
321027,30,29.3,0,-0.352294921875,-0.033447265625,0,102.5625,1,6,0,
321057,30,28.6,0,-0.302490234375,-0.033233642578125,0,102.5625,1,6,0,
321087,30,31,0,-0.258544921875,-0.032440185546875,0,102.5625,1,6,0,
321117,30,29.7,0,-0.2230224609375,-0.031524658203125,0,102.5625,1,6,0,
321147,30,31.4,0,-0.1904296875,-0.031463623046875,0,102.5625,1,6,0,
321177,30,29.3,0,-0.15673828125,-0.03253173828125,0,102.5625,1,6,0,
321207,30,29.2,0,-0.12005615234375,-0.03387451171875,0,102.5625,1,6,0,
321237,30,30.5,0,-0.0777587890625,-0.035736083984375,0,102.5625,1,6,0,
321297,60,42.8,0,0.01666259765625,-0.04339599609375,0,102.5625,1,6,0,
321327,30,46.8,0,0.06524658203125,-0.049285888671875,0,102.5625,1,6,0,
321357,30,30.4,0,0.1153564453125,-0.054840087890625,0,102.5625,1,6,0,
321387,30,29.5,0,0.1676025390625,-0.059906005859375,0,102.5625,1,6,0,
321417,30,29.8,0,0.223876953125,-0.065185546875,0,102.5625,1,6,0,
321462,45,31,0,0.31396484375,-0.07672119140625,0.0199432373046875,102.5625,1,6,0,
321507,45,45.3,0,0.31201171875,-0.09197998046875,0.265380859375,102.5625,1,6,0,
321537,30,43.9,0,0.240966796875,-0.09967041015625,0.55517578125,102.5625,1,6,0,
